"","#0F4A9C","#1AA2EB","#1a3f52","#354E23","#408DA1","#45d1c5","#532C8A","#53f1fc","#635547","#647A4F","#649146","#703C37","#824A09","#879E86","#8870ad","#8DB5CE","#8e7e59","#90BF75","#9e6762","#A8DBF7","#B51D8D","#C3C388","#C594BF","#C72228","#C9A997","#CDE088","#D96B2B","#DABE99","#DFCDE4","#EF5A9D","#F25CD4","#F397C0","#FACB12","#FBBE92","#FF5608","#c19f70","#cc7818","#f7f79e","#ff891c"
"7.91130127493959",0.0171903366332932,0.0191722098171172,0.106470516360566,0.0475733568581183,0.0701722022471919,0.0317053299961561,0.0408425383310069,0.0597675445567209,0.00360054451098765,0.0105694600847398,0.122063533473138,0.0230355188158148,0.0182744166697018,0.00816302604757302,0.0403540105171908,0.00420524750776979,0.0376359636338753,0.0160054653925164,0.0494943133395322,0.0213924011947181,0.00108412426583577,0.000299279125614229,3.66473261859713e-05,0.0217407055964801,0.0097694078836293,0.00164298493281503,0.0366679703215783,0.000482515756544085,0.0211421915746789,0.0286912753924256,0.00910361126672814,0,0.00364634261136331,0.0355715565646352,0.00551531201742062,0,0.0516351095486347,0.0214717963632165,0.00381123346448657
"7.91399743952505",0.0169470854717146,0.0196906719139018,0.106866904379937,0.0477934851724238,0.0694993083450677,0.0323376112787634,0.0415435358934403,0.0597194250720109,0.0034681991692645,0.0107897384299442,0.12331060520206,0.0223930088308543,0.0184118492293538,0.00818214381467792,0.040319082047052,0.00380332111372327,0.0383200662274161,0.0154845315100701,0.0492082299523711,0.0217639447356498,0.00111638303721214,0.000310147321373644,3.0867412404383e-05,0.0208378526319967,0.00947710193833219,0.00167420625648575,0.0366627320087015,0.000464484383395559,0.0198691772688223,0.0283181485466877,0.00920666121334181,0,0.00359387861487675,0.0361166943680664,0.00551649736792738,0,0.0511565599271717,0.0218888875825972,0.00390697233091002
"7.91669360411051",0.016703834310136,0.0202091340106864,0.107263292399309,0.0480136134867293,0.0688264144429435,0.0329698925613707,0.0422445334558736,0.0596713055873009,0.00333585382754135,0.0110100167751487,0.124557676930982,0.0217504988458938,0.0185492817890059,0.00820126158178281,0.0402841535769131,0.00340139471967676,0.039004168820957,0.0149635976276237,0.04892214656521,0.0221354882765816,0.0011486418085885,0.000321015517133059,2.50874986227948e-05,0.0199349996675132,0.00918479599303509,0.00170542758015647,0.0366574936958247,0.000446453010247032,0.0185961629629657,0.0279450217009499,0.00930971115995548,0,0.00354141461839019,0.0366618321714977,0.00551768271843413,0,0.0506780103057088,0.0223059788019779,0.00400271119733347
"7.91938976869596",0.0164605831485573,0.020727596107471,0.107659680418681,0.0482337418010348,0.0681535205408193,0.033602173843978,0.042945531018307,0.0596231861025909,0.00320350848581819,0.0112302951203531,0.125804748659904,0.0211079888609334,0.0186867143486579,0.00822037934888771,0.0402492251067742,0.00299946832563024,0.0396882714144978,0.0144426637451774,0.0486360631780488,0.0225070318175133,0.00118090057996486,0.000331883712892474,1.93075848412066e-05,0.0190321467030298,0.00889249004773798,0.00173664890382719,0.036652255382948,0.000428421637098506,0.0173231486571091,0.027571894855212,0.00941276110656916,0,0.00348895062190363,0.0372069699749289,0.00551886806894089,0,0.0501994606842459,0.0227230700213586,0.00409845006375692
"7.92208593328142",0.0162173319869787,0.0212460582042557,0.108056068438053,0.0484538701153403,0.0674806266386951,0.0342344551265853,0.0436465285807403,0.0595750666178809,0.00307116314409504,0.0114505734655576,0.127051820388826,0.0204654788759729,0.01882414690831,0.00823949711599261,0.0402142966366353,0.00259754193158373,0.0403723740080386,0.013921729862731,0.0483499797908877,0.0228785753584451,0.00121315935134123,0.000342751908651889,1.35276710596183e-05,0.0181292937385463,0.00860018410244087,0.00176787022749792,0.0366470170700712,0.00041039026394998,0.0160501343512525,0.0271987680094741,0.00951581105318283,0,0.00343648662541707,0.0377521077783601,0.00552005341944764,0,0.049720911062783,0.0231401612407392,0.00419418893018037
"7.92478209786688",0.0159740808254001,0.0217645203010403,0.108452456457425,0.0486739984296457,0.066807732736571,0.0348667364091926,0.0443475261431736,0.0595269471331709,0.00293881780237189,0.0116708518107621,0.128298892117748,0.0198229688910124,0.018961579467962,0.0082586148830975,0.0401793681664964,0.00219561553753721,0.0410564766015795,0.0134007959802846,0.0480638964037266,0.0232501188993768,0.00124541812271759,0.000353620104411304,7.74775727803008e-06,0.0172264407740629,0.00830787815714376,0.00179909155116864,0.0366417787571944,0.000392358890801454,0.0147771200453959,0.0268256411637362,0.00961886099979651,0,0.00338402262893051,0.0382972455817913,0.0055212387699544,0,0.04924236144132,0.0235572524601199,0.00428992779660382
"7.92747826245234",0.0157308296638214,0.0222829823978249,0.108848844476796,0.0488941267439512,0.0661348388344468,0.0354990176918,0.045048523705607,0.0594788276484609,0.00280647246064874,0.0118911301559665,0.12954596384667,0.0191804589060519,0.0190990120276141,0.0082777326502024,0.0401444396963576,0.0017936891434907,0.0417405791951203,0.0128798620978383,0.0477778130165655,0.0236216624403085,0.00127767689409396,0.000364488300170718,1.96784349644185e-06,0.0163235878095794,0.00801557221184666,0.00183031287483936,0.0366365404443176,0.000374327517652928,0.0135041057395393,0.0264525143179983,0.00972191094641018,0,0.00333155863244395,0.0388423833852226,0.00552242412046115,0,0.0487638118198571,0.0239743436795006,0.00438566666302727
"7.9301744270378",0.0156643466857468,0.0226873345956448,0.108903358311421,0.0489078503151079,0.0655408215618487,0.0358649650444484,0.0454405321680022,0.0594700204671217,0.00274421680034954,0.0120892323961259,0.129428831157031,0.0188921302931987,0.0193816982185986,0.00833745220627174,0.0400838369644417,0.00163634933341662,0.0422726353063921,0.0126281882212752,0.0476038599773998,0.0237338119262332,0.00138184310730241,0.000362302368629431,2.99433729208962e-06,0.0158919038762322,0.00786735369512709,0.00192230232295447,0.0367677266287299,0.00036529670592152,0.0129964792644888,0.0262579511574709,0.0098076220418341,0,0.00332659673809085,0.0390358562433506,0.00569504287385326,0,0.0484227801175028,0.0240332332117288,0.00455124335941526
"7.93287059162326",0.0156891138930744,0.0230327816826561,0.108781391955301,0.0488150248981667,0.0649875214982273,0.0360934271324642,0.0456730361759936,0.0594815068414444,0.00271814240467581,0.0122758870236168,0.128607477245832,0.0187866350117186,0.0197393663465286,0.00841813096833184,0.0400099808228863,0.00160526850667306,0.0427262029169519,0.0125155100902769,0.0474877901774063,0.0237120586071256,0.00152312893824363,0.000353377715713957,7.53439298012575e-06,0.0157034439246827,0.00779351510533336,0.00204566111883444,0.036969337028769,0.000360912108694083,0.0128839565919512,0.0261555650452028,0.00988438258204855,0,0.00334615608698838,0.039047794784486,0.0059561579249803,0,0.0481527370702675,0.0239072140702569,0.00475287131121604
"7.93556675620872",0.015713881100402,0.0233782287696673,0.108659425599181,0.0487221994812254,0.0644342214346059,0.03632188922048,0.045905540183985,0.059492993215767,0.00269206800900209,0.0124625416511077,0.127786123334632,0.0186811397302386,0.0200970344744585,0.00849880973039194,0.0399361246813309,0.0015741876799295,0.0431797705275117,0.0124028319592787,0.0473717203774128,0.023690305288018,0.00166441476918485,0.000344453062798484,1.20744486681619e-05,0.0155149839731332,0.00771967651553962,0.00216901991471441,0.0371709474288081,0.000356527511466646,0.0127714339194135,0.0260531789329347,0.00996114312226301,0,0.00336571543588592,0.0390597333256215,0.00621727297610735,0,0.0478826940230323,0.0237811949287851,0.00495449926301682
